method,problem_id,candidate_id,problem_type,difficulty,selected,executable,status,objective,reference_objective,score,objective_correct,relative_error,structure_score,semantic_consistency_score,runtime_sec,repair_feedback_count,error,expected_inventory_balance,detected_inventory_balance,expected_order_variable,detected_order_variable,expected_inventory_variable,detected_inventory_variable,expected_shortage_variable,detected_shortage_variable,expected_capacity_constraint,detected_capacity_constraint,expected_binary_order_variable,detected_binary_order_variable,expected_big_m_constraint,detected_big_m_constraint,expected_lead_time,detected_lead_time,expected_holding_cost,detected_holding_cost,expected_shortage_cost,detected_shortage_cost,expected_fixed_order_cost,detected_fixed_order_cost
,single_period_newsvendor_0000,cand_0_syntax_error,single_period_newsvendor,easy,False,False,Error,,111.0,0.0,0.0,,0.0,0.0,0.44055719999596477,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_period_newsvendor_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_period_newsvendor_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_period_newsvendor_0000,cand_1_remove_inventory_balance,single_period_newsvendor,easy,False,True,Optimal,0.0,111.0,0.6400000000000001,0.0,1.0,0.6,0.6,0.44548190000932664,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0000,cand_2_remove_capacity_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,111.0,0.6400000000000001,0.0,1.0,0.6,0.6,0.47010779997799546,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0000,cand_3_remove_big_m_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,111.0,0.6400000000000001,0.0,1.0,0.6,0.6,0.44522059999872,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0000,cand_4_correct,single_period_newsvendor,easy,False,True,Optimal,111.0,111.0,1.0000000000000002,1.0,0.0,1.0,1.0,0.48175999999511987,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False
,single_period_newsvendor_0001,cand_0_syntax_error,single_period_newsvendor,easy,False,False,Error,,122.0,0.0,0.0,,0.0,0.0,0.4189580000238493,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_period_newsvendor_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_period_newsvendor_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_period_newsvendor_0001,cand_1_remove_inventory_balance,single_period_newsvendor,easy,False,True,Optimal,0.0,122.0,0.6400000000000001,0.0,1.0,0.6,0.6,0.47471060004318133,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0001,cand_2_remove_capacity_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,122.0,0.6400000000000001,0.0,1.0,0.6,0.6,0.48277499998221174,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0001,cand_3_remove_big_m_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,122.0,0.6400000000000001,0.0,1.0,0.6,0.6,0.445663099992089,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0001,cand_4_correct,single_period_newsvendor,easy,False,True,Optimal,122.0,122.0,1.0000000000000002,1.0,0.0,1.0,1.0,0.47235930000897497,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False
,single_period_newsvendor_0002,cand_0_syntax_error,single_period_newsvendor,easy,False,False,Error,,580.0,0.0,0.0,,0.0,0.0,0.43516659998567775,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_period_newsvendor_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_period_newsvendor_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_period_newsvendor_0002,cand_1_remove_inventory_balance,single_period_newsvendor,easy,False,True,Optimal,0.0,580.0,0.6400000000000001,0.0,1.0,0.6,0.6,0.47021649999078363,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0002,cand_2_remove_capacity_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,580.0,0.6400000000000001,0.0,1.0,0.6,0.6,0.4546358000370674,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0002,cand_3_remove_big_m_constraint,single_period_newsvendor,easy,False,True,Optimal,0.0,580.0,0.6400000000000001,0.0,1.0,0.6,0.6,0.4524637999711558,2,,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_period_newsvendor_0002,cand_4_correct,single_period_newsvendor,easy,False,True,Optimal,580.0,580.0,1.0000000000000002,1.0,0.0,1.0,1.0,0.48911490000318736,0,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False
,single_item_multi_period_0000,cand_0_syntax_error,single_item_multi_period,medium,False,False,Error,,192.0,0.0,0.0,,0.0,0.0,0.4236069000326097,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_item_multi_period_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_item_multi_period_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_0000,cand_1_remove_inventory_balance,single_item_multi_period,medium,False,True,Optimal,0.0,192.0,0.7999999999999999,0.0,1.0,1.0,1.0,0.4274442999740131,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0000,cand_2_remove_capacity_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,192.0,0.7999999999999999,0.0,1.0,1.0,1.0,0.4388516999897547,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0000,cand_3_remove_big_m_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,192.0,0.7999999999999999,0.0,1.0,1.0,1.0,0.42586680001113564,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0000,cand_4_correct,single_item_multi_period,medium,False,True,Optimal,192.0,192.0,1.0000000000000002,1.0,0.0,1.0,1.0,0.47671359998639673,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0001,cand_0_syntax_error,single_item_multi_period,medium,False,False,Error,,876.0,0.0,0.0,,0.0,0.0,0.4624002000200562,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_item_multi_period_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_item_multi_period_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_0001,cand_1_remove_inventory_balance,single_item_multi_period,medium,False,True,Optimal,0.0,876.0,0.7999999999999999,0.0,1.0,1.0,1.0,0.4369528999668546,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0001,cand_2_remove_capacity_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,876.0,0.7999999999999999,0.0,1.0,1.0,1.0,0.46468089998234063,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0001,cand_3_remove_big_m_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,876.0,0.7999999999999999,0.0,1.0,1.0,1.0,0.4484113999642432,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0001,cand_4_correct,single_item_multi_period,medium,False,True,Optimal,876.0,876.0,1.0000000000000002,1.0,0.0,1.0,1.0,0.47620029997779056,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0002,cand_0_syntax_error,single_item_multi_period,medium,False,False,Error,,140.0,0.0,0.0,,0.0,0.0,0.41246800002409145,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_item_multi_period_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_item_multi_period_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_0002,cand_1_remove_inventory_balance,single_item_multi_period,medium,False,True,Optimal,0.0,140.0,0.7999999999999999,0.0,1.0,1.0,1.0,0.4553565999958664,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0002,cand_2_remove_capacity_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,140.0,0.7999999999999999,0.0,1.0,1.0,1.0,0.47947019996354356,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0002,cand_3_remove_big_m_constraint,single_item_multi_period,medium,False,True,Optimal,0.0,140.0,0.7999999999999999,0.0,1.0,1.0,1.0,0.47277669998584315,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_0002,cand_4_correct,single_item_multi_period,medium,False,True,Optimal,140.0,140.0,1.0000000000000002,1.0,0.0,1.0,1.0,0.5257129999808967,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
,single_item_multi_period_shortage_0000,cand_0_syntax_error,single_item_multi_period_shortage,medium,False,False,Error,,208.0,0.0,0.0,,0.0,0.0,0.4127436999697238,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_item_multi_period_shortage_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke\candidate_runs\single_item_multi_period_shortage_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
,single_item_multi_period_shortage_0000,cand_1_remove_inventory_balance,single_item_multi_period_shortage,medium,False,True,Optimal,0.0,208.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,0.456431100028567,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_item_multi_period_shortage_0000,cand_2_remove_capacity_constraint,single_item_multi_period_shortage,medium,False,True,Optimal,0.0,208.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,0.45864319999236614,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_item_multi_period_shortage_0000,cand_3_remove_big_m_constraint,single_item_multi_period_shortage,medium,False,True,Optimal,0.0,208.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,0.4693260000203736,2,,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
,single_item_multi_period_shortage_0000,cand_4_correct,single_item_multi_period_shortage,medium,False,True,Optimal,208.0,208.0,1.0000000000000002,1.0,0.0,1.0,1.0,0.47383189998799935,0,,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False
