problem_id,problem_type,difficulty,baseline_method,baseline_candidate,baseline_structure_score,baseline_objective_correct,baseline_missing_structures,baseline_feedback,full_candidate,full_structure_score,full_objective_correct,why_interesting
fixed_order_cost_big_m_0000,fixed_order_cost_big_m,hard,Solver-Filter,cand_1_remove_inventory_balance,0.5714285714285714,0.0,"['binary_order_variable', 'big_m_constraint', 'fixed_order_cost']","结构验证发现以下问题：
- 题目包含固定订货成本，但你的模型没有 binary 订货触发变量 Y[t]。应加入 Y[t] ∈ {0,1}。
- 你的模型有固定订货成本或订货触发逻辑，但没有 Big-M 连接约束。应加入 Q[t] <= M * Y[t]。
- 你的目标函数缺少固定订货成本项。应加入 fixed_order_cost * Y[t]。
当前结构完整性分数为 0.571。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
fixed_order_cost_big_m_0001,fixed_order_cost_big_m,hard,Solver-Filter,cand_1_remove_inventory_balance,0.5714285714285714,0.0,"['binary_order_variable', 'big_m_constraint', 'fixed_order_cost']","结构验证发现以下问题：
- 题目包含固定订货成本，但你的模型没有 binary 订货触发变量 Y[t]。应加入 Y[t] ∈ {0,1}。
- 你的模型有固定订货成本或订货触发逻辑，但没有 Big-M 连接约束。应加入 Q[t] <= M * Y[t]。
- 你的目标函数缺少固定订货成本项。应加入 fixed_order_cost * Y[t]。
当前结构完整性分数为 0.571。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
fixed_order_cost_big_m_0002,fixed_order_cost_big_m,hard,Solver-Filter,cand_1_remove_inventory_balance,0.5714285714285714,0.0,"['binary_order_variable', 'big_m_constraint', 'fixed_order_cost']","结构验证发现以下问题：
- 题目包含固定订货成本，但你的模型没有 binary 订货触发变量 Y[t]。应加入 Y[t] ∈ {0,1}。
- 你的模型有固定订货成本或订货触发逻辑，但没有 Big-M 连接约束。应加入 Q[t] <= M * Y[t]。
- 你的目标函数缺少固定订货成本项。应加入 fixed_order_cost * Y[t]。
当前结构完整性分数为 0.571。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
multi_item_capacity_0000,multi_item_capacity,hard,Solver-Filter,cand_1_remove_inventory_balance,0.8,0.0,['capacity_constraint'],"结构验证发现以下问题：
- 题目包含容量限制，但你的模型没有容量约束。应加入类似 sum_i volume[i] * I[i,t] <= capacity 的约束。
当前结构完整性分数为 0.800。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
multi_item_capacity_0001,multi_item_capacity,hard,Solver-Filter,cand_1_remove_inventory_balance,0.8,0.0,['capacity_constraint'],"结构验证发现以下问题：
- 题目包含容量限制，但你的模型没有容量约束。应加入类似 sum_i volume[i] * I[i,t] <= capacity 的约束。
当前结构完整性分数为 0.800。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
multi_item_capacity_0002,multi_item_capacity,hard,Solver-Filter,cand_1_remove_inventory_balance,0.8,0.0,['capacity_constraint'],"结构验证发现以下问题：
- 题目包含容量限制，但你的模型没有容量约束。应加入类似 sum_i volume[i] * I[i,t] <= capacity 的约束。
当前结构完整性分数为 0.800。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
single_item_multi_period_shortage_0000,single_item_multi_period_shortage,medium,Solver-Filter,cand_1_remove_inventory_balance,0.6666666666666666,0.0,"['shortage_variable', 'shortage_cost']","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.667。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
single_item_multi_period_shortage_0001,single_item_multi_period_shortage,medium,Solver-Filter,cand_1_remove_inventory_balance,0.6666666666666666,0.0,"['shortage_variable', 'shortage_cost']","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.667。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
single_item_multi_period_shortage_0002,single_item_multi_period_shortage,medium,Solver-Filter,cand_1_remove_inventory_balance,0.6666666666666666,0.0,"['shortage_variable', 'shortage_cost']","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.667。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
single_period_newsvendor_0000,single_period_newsvendor,easy,Solver-Filter,cand_1_remove_inventory_balance,0.6,0.0,"['shortage_variable', 'shortage_cost']","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.600。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
single_period_newsvendor_0001,single_period_newsvendor,easy,Solver-Filter,cand_1_remove_inventory_balance,0.6,0.0,"['shortage_variable', 'shortage_cost']","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.600。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
single_period_newsvendor_0002,single_period_newsvendor,easy,Solver-Filter,cand_1_remove_inventory_balance,0.6,0.0,"['shortage_variable', 'shortage_cost']","结构验证发现以下问题：
- 题目允许缺货或包含缺货惩罚，但你的模型没有缺货变量。应加入 B[t] 或 B[i,t] 表示缺货/积压量。
- 你的目标函数缺少缺货惩罚项。应加入 shortage_cost * B[t]。
当前结构完整性分数为 0.600。请优先修复上述缺失结构。",cand_4_correct,1.0,1.0,"Baseline selected a candidate with missing replenishment structures, while ReplenishVerifier-Full selected a structurally complete candidate."
